clusterName,binary_genes,rf_feature_importance,cluster_median,binary_score
i7_i31_CLMP_Ndnf_Cxcl14,HCRTR2,0.013980397392744443,6.523562,0.9018069704373678
i8_i27_SNCG_Vip_Mybpc1,SNCG,0.015462923620930892,5.169925,1.0
i8_i27_SNCG_Vip_Mybpc1,EDNRA,0.01379144526806151,5.857981,1.0
i8_i27_SNCG_Vip_Mybpc1,MMRN2,0.012806736095498789,5.169925,1.0
i8_i27_SNCG_Vip_Mybpc1,FBN3,0.006355858828286512,1.0,1.0
i8_i27_SNCG_Vip_Mybpc1,KCNK2,0.011281736175158008,5.83289,0.9828558405240376
i8_i27_SNCG_Vip_Mybpc1,SCML4,0.00990139755844696,4.169925,0.9734453439712524
i8_i27_SNCG_Vip_Mybpc1,NRP2,0.00603681410160521,5.857981,0.9663883606592816
i8_i27_SNCG_Vip_Mybpc1,ARHGAP18,0.010474869252776457,8.2620945,0.8774418632189432
i8_i27_SNCG_Vip_Mybpc1,LYPD6,0.007112583195952712,7.741467,0.704205306371053
i8_i27_SNCG_Vip_Mybpc1,SPSB4,0.005771221206692473,1.0,0.6666666666666666
i9_i22_TAC3_Vip_Mybpc1,BSPRY,0.018576189666052165,2.1961586,1.0
i9_i22_TAC3_Vip_Mybpc1,MCTP2,0.013506043650733835,5.3571224,1.0
i9_i22_TAC3_Vip_Mybpc1,OFD1P9Y,0.011266938927614711,0.5,1.0
i9_i22_TAC3_Vip_Mybpc1,OFD1P15Y,0.010671555799116057,0.5,1.0
i9_i22_TAC3_Vip_Mybpc1,VWC2L_IT1,0.011182414125040827,6.6153107,0.9798447370529176
i9_i22_TAC3_Vip_Mybpc1,IQGAP2,0.012445827730151317,6.646161,0.9545296907424928
i9_i22_TAC3_Vip_Mybpc1,TAC3,0.017117865006378612,6.748427,0.950226346651713
i9_i22_TAC3_Vip_Mybpc1,ANGPT1,0.010541378447990446,8.395531,0.9348318815231323
i9_i22_TAC3_Vip_Mybpc1,CCNG2,0.012732621835489781,8.7524605,0.8431071639060974
i9_i22_TAC3_Vip_Mybpc1,VIP,0.03315277870303908,11.340683,0.8359363913536072
